Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
11/2/2021,4279.79,4138.82,140.97,578374.08,575813.18,2560.9,15095.79,15337.75,-241.96,14205.15,14496.44,-291.29,1202690,104041.76
10/2/2021,3971.1,3600.36,370.74,391956.27,392448.25,-491.98,13204.56,13166.22,38.34,14402.33,14555.41,-153.08,1198777,103262.83
9/2/2021,4203.93,3713.36,490.57,302480.81,305340.9,-2860.09,12838.97,11930.43,908.54,13853.46,13749.6,103.86,1198613,103619.15
8/2/2021,5932.82,6393.52,-460.7,344473.45,342069.18,2404.27,17056.99,17092.13,-35.14,15150.34,15111.23,39.11,1195092,101831.49
5/2/2021,4558.04,6113.15,-1555.11,934819.58,928113.14,6706.44,15780.05,15261.63,518.42,12545.43,12581.14,-35.71,1190566,101716.11
4/2/2021,4427.5,4496.29,-68.79,528217.9,530300.42,-2082.52,15601.12,16459,-857.88,11671.25,11888.99,-217.74,1183788,100134.57
3/2/2021,8758.34,9732.86,-974.52,629530.77,625969.19,3561.58,18984.1,19904.99,-920.89,14570.94,14720.33,-149.39,1181200,98901.31
2/2/2021,12258.58,10123.86,2134.72,516140.91,518660.65,-2519.74,23282.22,21932.35,1349.87,13705.1,13683.63,21.47,1177123,96218.53
1/2/2021,6472.67,6477.73,-5.06,247516.59,245045.78,2470.81,17412.2,17595.13,-182.93,10354.73,10550.17,-195.44,1142457,89349.04
29/01/2021,10502.6,11887.89,-1385.29,905394.13,900648.5,4745.63,31247.99,30328.12,919.87,6384.17,5569.18,814.99,1133538,89741
28/01/2021,8069.45,9397.02,-1327.57,578799.37,576690.54,2108.83,39287.92,39470.83,-182.91,9748.51,9765.63,-17.12,1197931,95649.4
27/01/2021,8666.69,6797.96,1868.73,442618.04,441360.57,1257.47,49481.62,48809.65,671.97,17936.75,17546.1,390.65,1229336,99849.03
25/01/2021,5613.93,7085.22,-1471.29,431046.8,432539.22,-1492.42,28891.61,29358.62,-467.01,18465.83,18623.84,-158.01,1222407,99895.9
22/01/2021,4640.63,3538.45,1102.18,545808.19,543688.57,2119.62,15582.21,15777.57,-195.36,16528.44,16451.23,77.21,1221646,101250.92
21/01/2021,3070.02,4383.5,-1313.48,357042.21,357773.85,-731.64,10460.01,10792.58,-332.57,12011.24,12052.85,-41.61,1214146,101492.87
20/01/2021,4254.89,3746.02,508.87,286409.99,286458.36,-48.37,12242.64,11265.39,977.25,12156.2,11844.02,312.18,1212133,100536.44
19/01/2021,4385.51,4652.74,-267.23,365127.48,364073.64,1053.84,15247.32,13920.68,1326.64,12528.46,12662,-133.54,1219334,99113.36
18/01/2021,3779.34,4842.66,-1063.32,293136.97,292519.75,617.22,14230.07,15162.14,-932.07,10901.01,11165.22,-264.21,1226596,101767.48
15/01/2021,2585.13,2576.03,9.1,554211.72,553098.98,1112.74,11662.71,12231.65,-568.94,9780.29,10290.83,-510.54,1224913,102864.45
14/01/2021,4094.72,5071.02,-976.3,514686.09,508726.14,5959.95,15913.43,17198.59,-1285.16,13014.05,13038.79,-24.74,1223656,102963.31
13/01/2021,2954.35,4160.47,-1206.12,251809.93,253181.97,-1372.04,14672.09,14976.4,-304.31,10941.19,10912.71,28.48,1219724,102887.82
12/1/2021,2901.73,4258.86,-1357.13,231385.03,229870.96,1514.07,13352.53,12655.75,696.78,9570.45,9707.7,-137.25,1204622,101164.63
11/1/2021,4145.78,3012.83,1132.95,178302.83,178305.08,-2.25,13553.16,12868.25,684.91,8114.87,8237.23,-122.36,1204560,100588
8/1/2021,3061.89,2844.79,217.1,534146.74,531421.36,2725.38,14141.25,13970.49,170.76,7381.5,7534.28,-152.78,1201065,99038.05
