Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2016-08-04,8599.95,8601.4,8518.15,8551.1,169780000,15.14,66.84,41.93
2016-08-05,8600.2,8689.4,8590.15,8683.15,162784992,14.3525,66.842,41.8
2016-08-08,8712.85,8723.5,8697.6,8711.35,177876992,14.5875,66.81,43.02
2016-08-09,8727.8,8728.35,8638.2,8678.25,206260992,14.5375,66.774,42.77
2016-08-10,8686.7,8690.1,8564.6,8575.3,178963008,14.9225,66.765,41.71
2016-08-11,8572.8,8601.15,8540.05,8592.15,195115008,14.2125,66.75,43.49
2016-08-12,8605.45,8684.3,8604.45,8672.15,272014016,13.77,66.908,44.49
2016-08-16,8670.25,8682.35,8600.45,8642.55,231771008,14.1825,66.87,46.58
2016-08-17,8639.8,8667.1,8603.6,8624.05,179540992,14.78,66.893,46.79
2016-08-18,8648.85,8690.7,8645.05,8673.25,169432000,14.55,66.83,48.22
2016-08-19,8694.3,8696.6,8647.1,8666.9,197771008,14.5375,67.137,48.52
2016-08-22,8667.0,8684.85,8614.0,8629.15,156976992,14.235,67.202,47.05
2016-08-23,8628.35,8642.15,8580.0,8632.6,193303008,13.8975,67.122,48.1
2016-08-24,8648.5,8661.05,8620.9,8650.3,154168000,13.4875,67.167,46.77
2016-08-25,8668.85,8683.05,8583.65,8592.2,219736000,13.285,67.016,47.33
2016-08-26,8614.35,8622.95,8547.55,8572.55,152147008,13.57,67.136,47.64
2016-08-29,8583.75,8622.0,8543.75,8607.45,133724000,13.165,67.113,46.98
2016-08-30,8646.75,8750.6,8642.25,8744.35,154828992,13.02,67.144,46.35
2016-08-31,8754.05,8819.2,8754.05,8786.2,373422016,13.2425,66.973,44.7
2016-09-01,8793.6,8813.25,8759.95,8774.65,246336000,13.34,66.801,43.16
2016-09-02,8796.35,8824.1,8768.2,8809.65,197384992,12.94,66.795,44.44
2016-09-06,8852.7,8950.85,8848.45,8943.0,201616992,12.75,66.28,44.83
2016-09-07,8968.7,8968.7,8913.35,8917.95,299145984,13.145,66.478,45.5
2016-09-08,8915.5,8960.35,8896.0,8952.5,223936992,13.115,66.631,47.62
2016-09-09,8934.3,8939.15,8858.7,8866.7,181344000,13.23,66.895,45.88
2016-09-12,8732.95,8746.95,8699.4,8715.6,190200000,15.24,66.738,46.29
2016-09-14,8710.65,8739.85,8688.9,8726.6,189984000,14.7625,66.798,43.58
2016-09-15,8743.85,8751.95,8704.35,8742.55,149890000,14.6775,66.86,43.91
2016-09-16,8780.85,8847.65,8750.5,8779.85,274040000,14.58,67.075,43.03
2016-09-19,8788.45,8824.3,8774.2,8808.4,135814000,14.94,66.98,43.3
2016-09-20,8816.1,8816.45,8759.3,8775.9,140718000,14.78,66.985,43.44
2016-09-21,8790.3,8826.85,8757.3,8777.15,153440992,14.805,66.744,45.34
2016-09-22,8873.35,8893.35,8837.8,8867.45,178136992,13.34,66.633,46.32
2016-09-23,8880.75,8885.2,8820.3,8831.55,191618000,13.2475,66.707,44.48
2016-09-26,8807.9,8809.55,8715.1,8723.05,169050000,14.565,66.613,45.93
2016-09-27,8748.9,8768.5,8690.5,8706.4,156100992,14.25,66.425,44.67
2016-09-28,8711.2,8767.05,8703.15,8745.15,170644000,13.8475,66.349,47.05
2016-09-29,8792.7,8800.65,8558.25,8591.25,384395008,18.45,66.812,47.83
2016-09-30,8581.5,8637.15,8555.2,8611.15,187332992,17.18,66.556,48.24
2016-10-03,8666.15,8745.2,8635.0,8738.1,141472000,15.62,66.546,48.81
2016-10-04,8770.0,8783.65,8736.1,8769.15,189990000,14.9925,66.609,48.69
2016-10-05,8806.35,8806.95,8731.4,8743.95,162104000,14.925,66.572,49.83
2016-10-06,8768.7,8781.15,8684.65,8709.55,168714000,14.835,66.697,50.44
2016-10-07,8721.7,8723.7,8663.8,8697.6,155054000,14.485,66.602,49.81
2016-10-10,8735.35,8745.8,8703.95,8708.8,111794000,14.285,66.492,51.35
2016-10-13,8671.5,8681.55,8541.35,8573.35,218860992,15.425,66.794,50.44
2016-10-14,8594.0,8604.45,8549.8,8583.4,167848992,14.8875,66.717,50.35
2016-10-17,8612.95,8615.4,8506.15,8520.4,203516992,15.655,66.789,49.94
2016-10-18,8556.05,8685.1,8555.9,8677.9,216626000,14.5375,66.733,50.29
2016-10-19,8697.5,8698.75,8636.7,8659.1,177398000,14.6125,66.645,51.6
2016-10-20,8693.35,8727.0,8678.3,8699.4,165952000,14.165,66.83,50.43
2016-10-21,8708.6,8709.1,8652.05,8693.05,162162000,13.83,66.926,50.85
2016-10-24,8709.85,8736.95,8684.15,8708.95,161966000,14.3325,66.845,50.52
2016-10-25,8721.7,8722.65,8663.45,8691.3,195696000,14.4825,66.806,49.96
2016-10-26,8657.3,8657.3,8596.6,8615.25,226132992,14.4525,66.863,49.18
2016-10-27,8607.1,8624.85,8550.25,8615.25,250336000,14.085,66.881,49.72
2016-10-28,8625.0,8653.75,8581.75,8638.0,180906000,14.6525,66.778,48.7
2016-11-01,8653.15,8669.6,8614.5,8626.25,170068992,15.735,66.696,46.67
2016-11-02,8542.8,8549.5,8504.85,8514.0,160130000,16.7975,66.762,45.34
2016-11-03,8499.85,8537.65,8476.15,8484.95,175772992,16.465,66.668,44.66
2016-11-04,8503.6,8504.0,8400.25,8433.75,231783008,16.8475,66.796,44.07
2016-11-07,8535.75,8535.85,8481.45,8497.05,178071008,16.5075,66.745,44.89
2016-11-08,8540.0,8559.4,8480.1,8543.55,201760000,16.77,66.246,44.98
2016-11-09,8067.5,8476.2,8002.25,8432.0,323968992,16.62,66.515,45.27
2016-11-10,8555.6,8598.45,8510.7,8525.75,271196992,15.4575,66.865,44.66
2016-11-11,8456.65,8460.6,8284.95,8296.3,275222016,17.365,67.565,43.41
2016-11-15,8284.85,8288.55,8093.2,8108.45,370297984,20.145,67.786,45.81
2016-11-16,8205.65,8210.05,8089.4,8111.6,277800992,19.5025,67.999,45.57
2016-11-17,8105.1,8151.25,8060.3,8079.95,197183008,18.71,68.023,45.42
2016-11-18,8097.55,8128.95,8048.3,8074.1,166200000,17.805,68.191,45.69
2016-11-21,8102.1,8102.45,7916.4,7929.1,225608992,19.0975,68.228,47.49
2016-11-22,7989.15,8019.05,7938.15,8002.3,216678000,18.465,68.396,48.03
2016-11-23,8051.2,8055.2,7973.1,8033.3,186602000,18.04,68.784,47.96
2016-11-24,8011.8,8024.85,7952.55,7965.5,268619008,17.16,68.761,47.98
2016-11-25,8007.95,8122.25,7976.75,8114.3,183356000,17.6125,68.519,46.06
2016-11-28,8080.65,8146.5,8066.5,8126.9,195595008,18.055,68.579,47.08
2016-11-29,8131.55,8197.35,8128.7,8142.15,195618000,17.7075,68.615,45.23
2016-11-30,8172.15,8234.25,8139.25,8224.5,255724992,16.85,68.598,49.44
2016-12-01,8244.0,8250.8,8185.05,8192.9,162596992,16.6875,68.236,51.06
2016-12-02,8153.55,8159.3,8070.05,8086.8,176767008,17.9325,68.031,51.68
2016-12-05,8088.75,8141.9,8056.85,8128.75,130436000,17.2875,68.025,51.79
2016-12-06,8153.15,8178.7,8130.85,8143.15,118854000,17.105,67.742,50.93
2016-12-07,8168.4,8190.45,8077.5,8102.05,175024000,16.845,67.438,49.77
2016-12-08,8152.1,8256.25,8151.75,8246.85,146858000,15.525,67.546,50.84
2016-12-09,8271.7,8274.95,8241.95,8261.75,154344992,15.0675,67.47,51.5
2016-12-12,8230.65,8230.65,8154.45,8170.8,111433000,16.1925,67.431,52.83
2016-12-13,8196.15,8228.85,8155.8,8221.8,189740000,15.9225,67.411,52.98
2016-12-14,8229.35,8229.4,8165.1,8182.45,149132992,16.5925,67.475,51.04
2016-12-15,8128.4,8225.9,8121.95,8153.6,187426000,15.655,67.857,50.9
2016-12-16,8178.2,8178.7,8127.45,8139.45,209268000,15.2525,67.855,51.9
2016-12-19,8126.0,8132.5,8094.85,8104.35,110670000,14.8375,67.844,52.12
2016-12-20,8110.6,8124.1,8062.75,8082.4,132027000,14.5375,67.917,52.23
2016-12-21,8105.85,8112.55,8053.25,8061.3,127544000,14.705,67.837,52.49
2016-12-22,8043.85,8046.45,7964.95,7979.1,126410000,15.5525,67.848,52.95
2016-12-23,7972.5,8022.6,7942.05,7985.75,127922000,15.1275,67.837,53.02
2016-12-26,7965.1,7970.05,7893.8,7908.25,110171000,16.6025,67.76,53.19
2016-12-27,7915.05,8044.65,7903.7,8032.85,122463000,15.0825,67.978,53.9
2016-12-28,8047.55,8100.55,8028.4,8034.85,130581000,15.5425,68.233,54.06
2016-12-29,8030.6,8111.1,8020.8,8103.6,183984000,15.2825,67.935,53.77
2016-12-30,8119.65,8197.0,8114.75,8185.8,131457000,15.465,67.955,53.72
2017-01-02,8210.1,8212.0,8133.8,8179.5,122016000,15.83,68.145,54.03
2017-01-03,8196.05,8219.1,8148.6,8192.25,131186000,15.9575,68.26,52.33
2017-01-04,8202.65,8218.5,8180.9,8190.5,136476000,15.89,67.886,53.26
2017-01-05,8226.65,8282.65,8223.7,8273.8,163956992,15.05,67.743,53.76
2017-01-06,8281.85,8306.85,8233.25,8243.8,143690000,14.9125,68.115,53.99
2017-01-09,8259.35,8263.0,8227.75,8236.05,102211000,15.48,68.1,51.96
2017-01-10,8262.7,8293.8,8261.0,8288.6,147312992,15.195,68.327,50.82
2017-01-11,8327.8,8389.0,8322.25,8380.65,192284992,14.8075,68.312,52.25
2017-01-12,8391.05,8417.2,8382.3,8407.2,177948000,14.6125,68.141,53.01
2017-01-13,8457.65,8461.05,8373.15,8400.35,190950000,14.3825,68.18,52.37
2017-01-16,8390.95,8426.7,8374.4,8412.8,127939000,15.065,68.103,52.52
2017-01-17,8415.05,8440.9,8378.3,8398.0,125781000,15.3925,67.862,52.48
2017-01-18,8403.85,8460.3,8397.4,8417.0,168867008,15.1825,68.22,51.08
2017-01-19,8418.4,8445.15,8404.05,8435.1,170956000,15.02,68.1,51.37
2017-01-20,8404.35,8423.65,8340.95,8349.35,208900992,15.79,68.075,52.42
2017-01-23,8329.6,8404.15,8327.2,8391.5,200992992,15.905,68.051,52.75
2017-01-24,8407.05,8480.95,8398.15,8475.8,184746000,15.285,68.138,53.18
2017-01-25,8499.45,8612.6,8493.95,8602.75,301489984,15.17,67.988,52.75
2017-01-27,8610.5,8672.7,8606.9,8641.25,283905984,16.005,68.105,53.17
2017-01-30,8635.55,8662.6,8617.75,8632.75,314111008,16.67,67.829,52.63
2017-01-31,8629.45,8631.75,8552.4,8561.3,537110016,16.825,67.515,52.81
2017-02-01,8570.35,8722.4,8537.5,8716.4,337796992,13.97,67.415,53.88
2017-02-02,8724.75,8757.6,8685.8,8734.25,292328992,13.52,67.21,53.54
2017-02-03,8735.15,8748.25,8707.75,8740.95,196936000,13.1275,67.184,53.83
2017-02-06,8785.45,8814.1,8770.2,8801.05,200404000,13.3975,67.195,53.01
2017-02-07,8805.7,8809.3,8741.05,8768.3,233295008,13.5075,67.35,52.17
2017-02-08,8774.55,8791.25,8715.0,8769.05,225486000,13.35,67.05,52.34
2017-02-09,8795.55,8821.4,8724.1,8778.4,193282000,13.235,66.765,53.0
2017-02-10,8812.35,8822.1,8771.2,8793.55,232947008,13.1775,66.854,53.86
2017-02-13,8819.8,8826.9,8754.2,8805.05,211180000,13.6925,66.975,52.93
2017-02-14,8819.9,8820.45,8772.5,8792.3,194134000,13.8025,66.835,53.2
2017-02-15,8778.95,8807.9,8712.85,8724.7,222828992,14.2125,66.875,53.11
2017-02-16,8739.0,8783.95,8719.6,8778.0,190278000,13.73,67.08,53.36
2017-02-17,8883.7,8896.45,8804.25,8821.7,307526016,13.4325,67.08,53.4
2017-02-20,8818.55,8886.25,8809.8,8879.2,173022000,13.61,66.905,53.97
2017-02-21,8890.75,8920.8,8860.95,8907.85,181091008,13.525,66.985,54.06
2017-02-22,8931.6,8960.75,8905.25,8926.9,254678000,13.7,66.95,53.59
2017-02-23,8956.4,8982.15,8927.55,8939.5,388873984,13.4,66.69,54.45
2017-02-27,8943.7,8951.8,8888.65,8896.7,195847008,13.675,66.7,54.05
2017-02-28,8898.95,8914.75,8867.6,8879.6,302723008,13.7925,66.725,54.01
2017-03-01,8904.4,8960.8,8898.6,8945.8,212328992,13.575,66.865,53.83
2017-03-02,8982.85,8992.5,8879.8,8899.75,225608000,13.3625,66.785,52.61
2017-03-03,8883.5,8907.1,8860.1,8897.55,208916000,13.3525,66.78,53.33
2017-03-06,8915.1,8967.8,8914.0,8963.45,180195008,13.64,66.675,53.2
2017-03-07,8977.75,8977.85,8932.8,8946.9,178828000,13.875,66.625,53.14
2017-03-08,8950.7,8957.05,8891.95,8924.3,183326000,14.075,66.765,50.28
2017-03-09,8914.5,8945.8,8899.5,8927.0,176810000,14.39,66.69,49.28
2017-03-10,8953.7,8975.7,8903.95,8934.55,157420000,13.9575,66.555,48.49
2017-03-14,9091.65,9122.75,9060.5,9087.0,278727008,12.4,65.775,47.72
2017-03-15,9086.85,9106.55,9075.5,9084.8,248032992,12.4225,65.63,48.86
2017-03-16,9129.65,9158.45,9128.55,9153.7,215096000,11.91,65.385,48.75
2017-03-17,9207.8,9218.4,9147.6,9160.05,295553984,11.8525,65.475,48.78
2017-03-20,9166.95,9167.6,9116.3,9126.85,342396000,12.0175,65.345,48.22
2017-03-21,9133.95,9147.75,9087.2,9121.5,255396000,11.9425,65.345,47.34
2017-03-22,9047.2,9072.9,9019.3,9030.45,239464000,12.27,65.455,48.04
2017-03-23,9048.75,9099.05,9048.6,9086.3,197704992,11.835,65.455,47.7
2017-03-24,9104.0,9133.55,9089.4,9108.0,210022000,11.9775,65.425,47.97
2017-03-27,9093.45,9094.85,9024.65,9045.2,209036000,12.435,64.995,47.73
2017-03-28,9081.5,9110.4,9079.8,9100.8,188986000,12.1175,65.045,48.37
2017-03-29,9128.7,9153.15,9109.1,9143.8,250903008,12.0875,64.875,49.51
2017-03-30,9142.6,9183.15,9136.35,9173.75,333409984,12.15,64.86,50.35
2017-03-31,9158.9,9191.7,9152.1,9173.75,196772000,12.42,64.86,50.6
2017-04-03,9220.6,9245.35,9192.4,9237.85,143444992,11.4925,64.985,50.24
2017-04-05,9264.4,9273.9,9215.4,9265.15,190528992,11.55,64.875,51.15
2017-04-06,9245.8,9267.95,9218.85,9261.95,191936992,11.29,64.606,51.7
2017-04-07,9223.7,9250.5,9188.1,9198.3,195919008,11.6925,64.27,52.24
2017-04-10,9225.6,9225.65,9174.85,9181.45,139968992,11.62,64.605,53.08
2017-04-11,9184.55,9242.7,9172.85,9237.0,206262000,11.395,64.555,53.4
2017-04-12,9242.5,9246.4,9161.8,9203.45,166755008,11.6275,64.69,53.11
2017-04-13,9202.5,9202.65,9144.95,9150.8,171696000,11.5775,64.445,53.18
2017-04-17,9144.75,9160.0,9120.25,9139.3,132244000,11.8925,64.48,52.65
2017-04-18,9163.0,9217.9,9095.45,9105.15,179570000,12.375,64.605,52.41
2017-04-19,9112.2,9120.5,9075.15,9103.5,179116992,12.215,64.665,50.44
2017-04-20,9108.1,9143.9,9102.65,9136.4,175630000,11.56,64.62,50.27
2017-04-21,9179.1,9183.65,9088.75,9119.4,159980992,11.4225,64.65,49.62
2017-04-24,9135.35,9225.4,9130.55,9217.95,172908000,11.625,64.49,49.23
2017-04-25,9273.05,9309.2,9250.35,9306.6,173896992,11.155,64.33,49.56
2017-04-26,9336.2,9367.0,9301.35,9351.85,191395008,11.74,64.13,49.62
2017-04-27,9359.15,9367.15,9322.65,9342.15,215882000,11.07,64.115,48.97
2017-04-28,9340.95,9342.65,9282.25,9304.05,167228992,10.86,64.29,49.33
2017-05-02,9339.85,9352.55,9269.9,9313.8,166558000,11.4475,64.165,47.66
2017-05-03,9344.7,9346.3,9298.4,9311.95,156342000,11.5275,64.165,47.82
2017-05-04,9360.95,9365.65,9323.25,9359.9,277896000,11.3325,64.215,45.52
