Date,NIFTY,VIX,DOW,SGXNIFTY,EXCHANGE,FII_FUT,FII_OPT,CRUDE,Volume,200EMA,100EMA,50EMA,20EMA,5EMA,upperband,lowerband,macd,RSI
2016-03-01,7222.3,18.6725,16865.08,7229.05,67.753,706.18,495.1,36.81,283.56,7831.0626966609725,7623.295485020574,7396.9330856377,7185.204644120575,7095.009691411201,7518.629895683069,6851.430104316933,-111.2268581303224,49.090212246972506
2016-03-02,7368.85,18.99,16899.32,7361.55,67.395,1188.84,966.32,36.93,348.97,7826.463565350913,7618.256960564721,7395.831788161712,7202.694678013853,7186.289794274134,7502.153342401744,6859.236657598259,-83.30702351956643,55.39470581048824
2016-03-03,7475.6,18.04,16943.9,7449.55,67.122,259.68,256.07,37.07,287.25,7822.972385596177,7615.432070256509,7398.9599533318415,7228.685661060153,7282.72652951609,7524.083014651643,6848.686985348361,-51.96747191832401,59.344172610249004
2016-03-04,7485.35,17.8825,17006.77,7460.35,66.938,147.42,300.19,38.72,290.44,7819.612958873828,7612.856187677173,7402.34779829922,7253.129883816328,7350.26768634406,7540.278924780452,6840.626075219552,-26.043692493780327,59.695191378598935
2016-03-08,7485.3,18.465,16964.1,7452.65,67.313,803.4,349.04,39.65,264.94,7816.2864617706055,7610.330322574655,7405.600825816898,7275.2413234528685,7395.2784575627065,7539.4434371582365,6841.081562841767,-5.44023348601695,59.69234510760235
2016-03-09,7531.8,17.505,17000.36,7535.05,67.128,154.62,-1253.49,41.07,252.71,7813.455750708212,7608.775266682088,7410.549813039765,7299.675483124024,7440.785638375138,7568.012789582148,6826.9672104178535,14.473476374606435,61.52944584969018
2016-03-10,7486.15,17.895,16995.13,7483.7,67.302,-28.53,-635.54,40.05,231.58,7810.198977069324,7606.3470435794725,7413.514526253892,7317.434960921736,7455.907092250091,7596.207810123708,6817.567189876291,26.268850466268304,58.70090316640727
2016-03-11,7510.2,17.0975,17213.31,7512.2,66.921,931.61,-378.18,40.39,204.81,7807.213912620873,7604.443141726414,7417.306113459622,7335.793536072047,7474.004728166728,7632.814596145892,6810.410403854108,37.12939882336741,59.750680655208235
2016-03-14,7538.75,17.1025,17229.13,7546.85,67.138,861.07,-253.12,39.53,172.07,7804.542629908227,7603.142287434802,7422.068618814146,7355.122723112804,7495.586485444485,7666.876031982444,6832.588968017556,47.49274128179695,61.01746445338526
2016-03-15,7460.6,17.5975,17251.53,7485.4,67.372,553.68,-683.6,38.74,199.65,7801.120315182772,7600.3196678816375,7423.579653370454,7365.168178054442,7483.924323629657,7681.332834619429,6866.097165380569,48.836753278779724,55.83694660627495
2016-03-16,7498.75,17.115,17325.76,7527.0,67.173,-114.85,-955.38,40.33,201.43,7798.111655330207,7598.308387329526,7426.527510101025,7377.890256334971,7488.866215753104,7701.31289911793,6891.1671008820695,52.376514777512966,57.72391249287684
2016-03-17,7512.55,16.84,17481.49,7512.75,66.619,591.98,444.25,41.54,247.04,7795.270245824434,7596.610201441813,7429.900941077455,7390.7149938268785,7496.76081050207,7722.346554443832,6910.5434455561635,55.65380353261662,58.41606181898623
2016-03-18,7604.35,16.3825,17602.3,7605.3,66.384,490.91,-171.06,41.2,244.73,7793.370541885883,7596.7634647795985,7436.7420806430455,7411.061184890986,7532.623873668047,7757.219943441922,6916.930056558076,64.91032545148573,62.78135888021964
2016-03-21,7704.25,16.3325,17623.87,7713.35,66.5,250.89,-77.87,41.54,202.85,7792.4837703248295,7598.891911021587,7447.232587284495,7438.983929187082,7589.832582445365,7806.562596494154,6916.937403505843,79.39209817479968,66.8586011025993
2016-03-22,7714.9,16.43,17582.57,7726.25,66.755,200.32,-1126.5,41.79,215.36,7791.711792510652,7601.1891009023475,7457.729348567456,7465.261650216884,7631.5217216302435,7851.876823308233,6919.658176691765,90.6830357993349,67.27024113983494
2016-03-23,7716.5,16.345,17502.59,7736.3,66.93,739.61,-1081.85,40.47,205.8,7790.96341646577,7603.472485042895,7467.877217251085,7489.18911210099,7659.847814420163,7885.360771531103,6946.869228468897,98.62342241913575,67.33588177425196
2016-03-28,7615.1,17.485,17535.39,7638.6,66.608,-160.92,-1787.42,40.27,249.9,7789.213531724817,7603.702732863828,7473.650659711827,7501.180625234229,7644.931876280109,7885.213879642366,7006.656120357633,95.63172051249421,59.22878357960276
2016-03-29,7597.0,17.6375,17633.11,7620.05,66.375,207.5,-756.44,39.14,223.49,7787.300959269844,7603.570005480386,7478.487888742736,7510.306279973826,7628.954584186739,7862.505073199021,7092.004926800977,90.75409969660723,57.88898317047008
2016-03-30,7735.2,16.8075,17716.66,7741.0,66.375,394.63,-564.95,39.26,239.84,7786.782541764671,7606.176540025328,7488.555030360668,7531.724729500129,7664.36972279116,7854.135464595172,7170.919535404826,96.9228685765056,64.49334943552371
2016-03-31,7738.4,16.5825,17685.09,7738.4,66.255,3193.59,-658.47,39.6,391.91,7786.301123438654,7608.79482636146,7498.352872307309,7551.4080885953545,7689.046481860773,7807.056261476916,7293.133738523083,100.90668614820333,64.6316667774594
2016-04-01,7713.05,17.2775,17792.75,7748.75,66.365,-386.84,-441.63,38.67,189.57,7785.572256538767,7610.859285245391,7506.772367510944,7566.802556348178,7697.047654573849,7792.443629823135,7356.821370176865,100.85575477391376,62.552801423647
2016-04-04,7758.8,17.45,17737.0,7790.75,66.106,97.39,-539.33,37.69,160.28,7785.305865926441,7613.788804349443,7516.655804079142,7585.088027172161,7717.631769715899,7804.4519541556665,7383.808045844332,103.31607059435373,64.75604953083122
2016-04-05,7603.2,17.83,17603.32,7623.5,66.422,-1224.08,323.66,37.87,210.13,7783.493867260506,7613.579125055395,7520.049694115254,7586.812976965289,7679.487846477266,7803.6825562173035,7397.337443782695,91.6537417289519,53.27523668326667
2016-04-06,7614.35,17.345,17716.05,7634.7,66.517,-769.96,505.93,39.84,170.65,7781.810843705675,7613.594389905783,7523.747745326421,7589.435550587642,7657.775230984845,7803.170656183303,7410.749343816695,82.36156108820705,53.90588570059555
2016-04-07,7546.45,16.935,17541.96,7565.05,66.757,-1473.58,124.78,39.43,241.68,7779.46894476333,7612.26479802646,7524.638029823424,7585.341688626914,7620.666820656563,7800.367938073679,7419.6670619263205,68.72624507522141,49.52237873793718
2016-04-08,7555.2,16.4325,17576.96,7578.1,66.551,-897.28,-307.66,41.94,147.82,7777.23741297464,7611.134802025937,7525.8365384578,7582.471051614827,7598.844547104375,7799.880928276371,7422.494071723632,57.95810580493162,50.08567090841404
2016-04-11,7671.4,16.0125,17556.41,7702.1,66.287,-28.83,-373.83,42.83,185.35,7776.184304387828,7612.328172282849,7531.544909498671,7590.940475270558,7623.029698069583,7801.72401358093,7439.1759864190735,58.1305538888364,56.95535440979529
2016-04-12,7708.95,16.025,17721.25,7732.8,66.283,116.6,-242.37,44.69,168.51,7775.515306334218,7614.241475802,7538.501971871272,7602.179477625743,7651.669798713056,7808.153328760027,7452.621671239976,60.59864792735061,58.922791739255544
2016-04-13,7850.45,16.035,17908.28,7867.85,66.496,1679.09,-70.83,44.18,227.22,7776.2609251766635,7618.918872320773,7550.73522787632,7625.824289280434,7717.929865808704,7842.530724134077,7449.414275865926,73.12950624325367,65.34992284109713
2016-04-18,7914.7,16.9475,18004.16,7920.3,66.416,631.06,1026.46,42.91,190.26,7777.638428408736,7624.775924354025,7565.008356194896,7653.336261729916,7783.519910539136,7878.780732899195,7458.57426710081,87.23910171875377,67.81257908394863
2016-04-20,7914.75,17.075,18096.27,7929.85,66.166,1328.06,-577.34,45.8,211.63,7779.002722653426,7630.517985257906,7578.723714775489,7678.232808231829,7827.263273692757,7910.267156629765,7468.68784337024,97.30343889507094,67.81449616932953
2016-04-21,7912.05,16.5125,17982.52,7913.35,66.489,-74.38,995.35,44.53,230.58,7780.326576159362,7636.092876638937,7591.795333803901,7700.50111220975,7855.5255157951715,7934.839068975863,7484.065931024142,103.86434763554735,67.58042139425606
2016-04-22,7899.3,16.38,18003.75,7911.15,66.66,540.75,60.24,45.11,188.99,7781.5103913219555,7641.304898883711,7603.854340321394,7719.434339618346,7870.117010530114,7958.567783621829,7489.832216378174,106.80392744491655,66.41461392994444
